region,target,time_s,time_yr,mae_log,r2,picp_90,qhat,median_alr,q90_alr,n_train,n_test
cell_3,atoms_H3,3153600.0,0.1,0.02679064939688899,0.9535158523240467,1.0,0.15547466590658487,0.0187359222122851,0.06480579715776735,116,14
cell_3,atoms_H3,31536000.0,1.0,0.02669803687601708,0.9535972556493466,1.0,0.15464015862992397,0.018523985138725656,0.06456213981794463,116,14
cell_3,atoms_H3,59927882.4,1.9003006849315067,0.026641138413048843,0.9536896117397808,1.0,0.15463315882558248,0.018245528397565207,0.06480819295373573,116,14
cell_3,atoms_H3,91453924.8,2.8999849315068493,0.027011247671303047,0.9538105642642052,1.0,0.15588594605781836,0.018928679031854745,0.06447081914574061,116,14
cell_3,atoms_H3,119824207.2,3.799600684931507,0.026801734391753738,0.953430737988009,1.0,0.15538839882282574,0.018879894517929062,0.06529330244252149,116,14
cell_3,atoms_H3,148226047.2,4.700217123287671,0.026944790596534825,0.9531484660496118,1.0,0.15642748293115716,0.01929933781637725,0.06526261595651645,116,14
cell_3,atoms_H3,176596329.6,5.599832876712329,0.026513582769719792,0.9548116216136463,1.0,0.15197708177773706,0.019204453284966443,0.06444649220765594,116,14
cell_3,atoms_H3,204998169.6,6.500449315068493,0.0262691366814953,0.9550685094853953,1.0,0.1516628363038599,0.018081334957567474,0.06420156116043621,116,14
cell_3,atoms_H3,236524212.0,7.500133561643835,0.02533705526448823,0.9570208431435604,1.0,0.1546215133296407,0.018079430828631317,0.06333920579751645,116,14
cell_3,atoms_H3,264894494.4,8.399749315068494,0.02531477456443452,0.9564535574492309,1.0,0.15385590040916952,0.017456015231504675,0.06334010240785119,116,14
cell_3,atoms_H3,293296334.40000004,9.300365753424659,0.02601846776900731,0.9545914674894518,1.0,0.1513286561446563,0.018032025506711718,0.065293488590842,116,14
cell_3,atoms_H3,315355396.8,9.99985403348554,0.026132224855337886,0.9545979022542188,1.0,0.15113582156094552,0.018809589017484918,0.06578203429501833,116,14
cell_3,atoms_H3,316564696.8,10.038200684931507,0.02630519035764881,0.9543621289295754,1.0,0.1513455518754867,0.01886531231001004,0.06624552499043551,116,14
cell_3,atoms_H3,6622551705.6,209.99973698630137,0.02885844684484213,0.9489418165305125,1.0,0.15307512663588696,0.02291168119033552,0.06939104065338798,116,14
cell_3,atoms_Li6,3153600.0,0.1,2.2317609170231988e-07,0.6614460800235958,1.0,1.3133730334402571e-06,9.633682214274068e-08,4.7303375784215273e-07,116,14
cell_3,atoms_Li6,31536000.0,1.0,2.0518478558122818e-06,0.8587610530229821,1.0,1.3972574517850944e-05,1.5614032377728106e-06,4.1567146273739e-06,116,14
cell_3,atoms_Li6,59927882.4,1.9003006849315067,6.412207719463936e-06,0.8701018378362929,1.0,4.545742732275926e-05,5.362902762571571e-06,1.2718656114293192e-05,116,14
cell_3,atoms_Li6,91453924.8,2.8999849315068493,1.2012604561866575e-05,0.8607478938850222,1.0,8.24198127347131e-05,1.0238423386061039e-05,2.2929708942619406e-05,116,14
cell_3,atoms_Li6,119824207.2,3.799600684931507,2.0604838635053723e-05,0.860397046564968,1.0,0.000140909584988691,1.767325904303598e-05,3.941583166124161e-05,116,14
cell_3,atoms_Li6,148226047.2,4.700217123287671,3.0039183616484672e-05,0.8589053101260224,1.0,0.00020505128050984922,2.6048700440860368e-05,5.967046863448809e-05,116,14
cell_3,atoms_Li6,176596329.6,5.599832876712329,4.0004165346171506e-05,0.8529835087818942,1.0,0.00026745242117698353,3.4375898540951356e-05,7.986707003056227e-05,116,14
cell_3,atoms_Li6,204998169.6,6.500449315068493,4.7949863278924045e-05,0.8620440137518083,1.0,0.00033165063646833914,3.9215702953870185e-05,9.261193181105643e-05,116,14
cell_3,atoms_Li6,236524212.0,7.500133561643835,5.766574095719282e-05,0.8639687948221193,1.0,0.00039389383446319925,4.777331790925028e-05,0.00010930253943199523,116,14
cell_3,atoms_Li6,264894494.4,8.399749315068494,6.803781921454239e-05,0.8650460517366375,1.0,0.0004669984574725561,5.647128461454387e-05,0.00013823101244570392,116,14
cell_3,atoms_Li6,293296334.40000004,9.300365753424659,7.795456096053905e-05,0.8739099747719634,1.0,0.000532733378975081,6.417552558303987e-05,0.00016647126862992103,116,14
cell_3,atoms_Li6,315355396.8,9.99985403348554,8.576422285929855e-05,0.8803000033377512,1.0,0.0005978623833051699,5.799837816413528e-05,0.00017318572336677077,116,14
cell_3,atoms_Li6,316564696.8,10.038200684931507,8.576422285929855e-05,0.8803000033377512,1.0,0.0005978623833051699,5.799837816413528e-05,0.00017318572336677077,116,14
cell_3,atoms_Li6,6622551705.6,209.99973698630137,8.576422285929855e-05,0.8803000033377512,1.0,0.0005978623833051699,5.799837816413528e-05,0.00017318572336677077,116,14
cell_3,atoms_Li6,1577122396696.8,50010.22313219178,8.576422285929855e-05,0.8803000033377512,1.0,0.0005978623833051699,5.799837816413528e-05,0.00017318572336677077,116,14
cell_3,atoms_Li7,3153600.0,0.1,3.552713678800501e-15,0.0,1.0,3.552713678800501e-15,3.90552623954083e-15,3.90552623954083e-15,116,14
cell_3,atoms_Li7,31536000.0,1.0,3.0765743222868225e-08,0.9832599262292842,1.0,8.529337733875764e-07,2.0619595271053205e-08,7.033572098449532e-08,116,14
cell_3,atoms_Li7,59927882.4,1.9003006849315067,2.798376362380038e-08,0.9824899223302942,1.0,8.689729753541542e-07,4.582148945006487e-09,1.1409515676330244e-07,116,14
cell_3,atoms_Li7,91453924.8,2.8999849315068493,1.9713378738929676e-07,0.6485455468032493,1.0,1.0432443993124707e-06,6.249036584797241e-08,6.768013567438535e-07,116,14
cell_3,atoms_Li7,119824207.2,3.799600684931507,2.3341617476952641e-07,0.9096064876308807,1.0,9.635955322551126e-07,2.46593242506918e-07,4.446094296322158e-07,116,14
cell_3,atoms_Li7,148226047.2,4.700217123287671,3.4752321071656364e-07,0.9068653497093473,1.0,2.4628977506324645e-06,2.85662005194434e-07,5.98382626854353e-07,116,14
cell_3,atoms_Li7,176596329.6,5.599832876712329,3.6851525082275724e-07,0.9447682289585253,1.0,2.979482829346125e-06,2.9407877341871e-07,6.620371823999609e-07,116,14
cell_3,atoms_Li7,204998169.6,6.500449315068493,5.467730090913392e-07,0.9318897615952617,1.0,3.582799106283119e-06,5.041395898665817e-07,9.201706087057632e-07,116,14
cell_3,atoms_Li7,236524212.0,7.500133561643835,4.336019454598272e-07,0.9631455224688258,1.0,4.668614234759616e-06,3.448631501470599e-07,8.029833092979905e-07,116,14
cell_3,atoms_Li7,264894494.4,8.399749315068494,5.603025180330892e-07,0.9550071440174352,1.0,4.995056695378253e-06,4.854219205626058e-07,1.0659812849701516e-06,116,14
cell_3,atoms_Li7,293296334.40000004,9.300365753424659,5.697893126210829e-07,0.9695836126978055,1.0,5.924587288319572e-06,5.760905662548315e-07,1.0000900193168874e-06,116,14
cell_3,atoms_Li7,315355396.8,9.99985403348554,6.811509860276439e-07,0.959997336336925,1.0,6.378874857659866e-06,5.751759208126719e-07,1.0502311738327687e-06,116,14
cell_3,atoms_Li7,316564696.8,10.038200684931507,6.811509860276439e-07,0.959997336336925,1.0,6.378874857659866e-06,5.751759208126719e-07,1.0502311738327687e-06,116,14
cell_3,atoms_Li7,6622551705.6,209.99973698630137,6.811509860276439e-07,0.959997336336925,1.0,6.378874857659866e-06,5.751759208126719e-07,1.0502311738327687e-06,116,14
cell_3,atoms_Li7,1577122396696.8,50010.22313219178,6.811509860276439e-07,0.959997336336925,1.0,6.378874857659866e-06,5.751759208126719e-07,1.0502311738327687e-06,116,14
cell_2,atoms_H3,3153600.0,0.1,0.001445527256016353,0.9994287621068098,1.0,0.004364015277293021,0.0014892149790816389,0.002493163010367087,116,14
cell_2,atoms_H3,31536000.0,1.0,0.001361050585332535,0.999519715618801,1.0,0.004372727599028181,0.0014166270609244544,0.002068677708245241,116,14
cell_2,atoms_H3,59927882.4,1.9003006849315067,0.001368699728782476,0.9995107475236559,1.0,0.004506071192821537,0.0013759747785637914,0.0020740621798800204,116,14
cell_2,atoms_H3,91453924.8,2.8999849315068493,0.0013876171159911926,0.9994912459346722,1.0,0.004676212780111655,0.0013206950465271751,0.0021394799605106455,116,14
cell_2,atoms_H3,119824207.2,3.799600684931507,0.0014988961158829892,0.9993863961094013,1.0,0.005017288301708334,0.0015519761330908904,0.0023579863650440634,116,14
cell_2,atoms_H3,148226047.2,4.700217123287671,0.0014604449442092715,0.9993896845509184,1.0,0.00530768897196765,0.0012688363987888936,0.0024732213580671435,116,14
cell_2,atoms_H3,176596329.6,5.599832876712329,0.001545278864561033,0.9993117338368619,1.0,0.00563019673475651,0.0012458361364739519,0.0026311243922958476,116,14
cell_2,atoms_H3,204998169.6,6.500449315068493,0.0016419200482814692,0.999222659500501,1.0,0.005853031062045488,0.0012545258132876994,0.0027666438241132725,116,14
cell_2,atoms_H3,236524212.0,7.500133561643835,0.0016477390279879347,0.9991764131746812,1.0,0.006103731192439454,0.0012288242898997048,0.0029964947414919734,116,14
cell_2,atoms_H3,264894494.4,8.399749315068494,0.0017472298006589529,0.9990816002938198,1.0,0.0062260161717375695,0.0012004877670845964,0.0031559740801122378,116,14
cell_2,atoms_H3,293296334.40000004,9.300365753424659,0.0018548242497811174,0.998962291111768,1.0,0.006515383294740218,0.0013267198598239589,0.003453404774398496,116,14
cell_2,atoms_H3,315355396.8,9.99985403348554,0.0018004207186212032,0.9989325598120141,1.0,0.006809151015023218,0.001133807501310672,0.0035618552788091863,116,14
cell_2,atoms_H3,316564696.8,10.038200684931507,0.0018690602362033207,0.9989188845491495,1.0,0.006765190641903729,0.0012464774320976465,0.0034952543815682567,116,14
cell_2,atoms_H3,6622551705.6,209.99973698630137,0.0023504071926645814,0.9985202235525535,1.0,0.008807276200938574,0.0021344513524940013,0.003951624506475735,116,14
